"Job ID","Project","Start","End","State","#Nodes","#Cores","#GPUs","Exclusive","Walltime","Pending","Duration","Core Hours","Used Walltime","Partition"
"16732261","p_lv_internet","24/04/2025 16:02:44","24/04/2025 16:32:51","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 03s","00d 00h 30min 07s","3.01","100.39","barnard"
"16732189","p_lv_internet","24/04/2025 15:38:32","24/04/2025 15:56:37","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 01s","00d 00h 18min 05s","1.81","60.28","barnard"
"16627392","p_lv_internet","22/04/2025 13:30:24","22/04/2025 14:00:28","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 30s","00d 00h 30min 04s","3.01","100.22","barnard"
"16625904","p_lv_internet","22/04/2025 12:47:32","22/04/2025 13:17:54","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 01s","00d 00h 30min 22s","3.04","101.22","barnard"
"16625113","p_lv_internet","22/04/2025 11:55:32","22/04/2025 12:25:46","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 08s","00d 00h 30min 14s","3.02","100.78","barnard"
"16618511","p_lv_internet","22/04/2025 10:34:41","22/04/2025 11:04:43","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 10s","00d 00h 30min 02s","3.00","100.11","barnard"
"16559190","p_lv_internet","16/04/2025 17:24:43","16/04/2025 17:54:43","timeout","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 15s","00d 00h 30min 00s","3.00","100","barnard"
"16559043","p_lv_internet","16/04/2025 16:57:53","16/04/2025 17:11:15","cancelled","3","6","0","0","00d 00h 30min 00s","00d 00h 00min 17s","00d 00h 13min 22s","1.34","44.56","barnard"
"16558912","p_lv_internet","16/04/2025 16:41:31","16/04/2025 16:42:27","cancelled","3","6","0","0","00d 00h 10min 00s","00d 00h 00min 03s","00d 00h 00min 56s","0.09","9.33","barnard"
"16558813","p_lv_internet","16/04/2025 16:37:38","16/04/2025 16:37:40","failed","3","6","0","0","00d 00h 10min 00s","00d 00h 00min 07s","00d 00h 00min 02s","0.00","0.33","barnard"
"16558803","p_lv_internet","16/04/2025 16:35:51","16/04/2025 16:35:52","failed","3","6","0","0","00d 00h 10min 00s","00d 00h 00min 10s","00d 00h 00min 01s","0.00","0.17","barnard"
"16558789","p_lv_internet","16/04/2025 16:34:11","16/04/2025 16:34:12","failed","3","6","0","0","00d 00h 10min 00s","00d 00h 00min 03s","00d 00h 00min 01s","0.00","0.17","barnard"
"16558589","p_lv_internet","16/04/2025 15:56:54","16/04/2025 15:57:00","failed","3","6","0","0","00d 00h 10min 00s","00d 00h 00min 03s","00d 00h 00min 06s","0.01","1","barnard"
"16524022","p_lv_internet","14/04/2025 15:25:15","14/04/2025 15:25:16","failed","3","6","0","0","00d 00h 10min 00s","00d 00h 00min 09s","00d 00h 00min 01s","0.00","0.17","barnard"
